
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006229                       # Number of seconds simulated (Second)
simTicks                                   6228997500                       # Number of ticks simulated (Tick)
finalTick                                  6228997500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    196.92                       # Real time elapsed on the host (Second)
hostTickRate                                 31632847                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   18819712                       # Number of bytes of host memory used (Byte)
simInsts                                     10000000                       # Number of instructions simulated (Count)
simOps                                       10000000                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    50783                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      50783                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   6228997500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         12457998                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10565540                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     5344                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10538233                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  11459                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               570797                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            311700                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 311                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            12424710                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.848167                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.833885                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   9431468     75.91%     75.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    711375      5.73%     81.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    481071      3.87%     85.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    408029      3.28%     88.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    413318      3.33%     92.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    383542      3.09%     95.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    270338      2.18%     97.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    156933      1.26%     98.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    168636      1.36%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              12424710                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    5559      1.02%      1.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      1.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     165      0.03%      1.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   219      0.04%      1.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                   782      0.14%      1.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                  2199      0.40%      1.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                36229      6.62%      8.25% # attempts to use FU when none available (Count)
