
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005678                       # Number of seconds simulated (Second)
simTicks                                   5678336500                       # Number of ticks simulated (Tick)
finalTick                                  5678336500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    179.41                       # Real time elapsed on the host (Second)
hostTickRate                                 31650431                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   19128964                       # Number of bytes of host memory used (Byte)
simInsts                                     10000007                       # Number of instructions simulated (Count)
simOps                                       10000027                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    55739                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      55739                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   5678336500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         11356674                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        11119933                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1775                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10884478                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  23283                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1121565                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            514917                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 151                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11338044                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.959996                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.840924                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7949082     70.11%     70.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    928766      8.19%     78.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    624503      5.51%     83.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    464758      4.10%     87.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    455047      4.01%     91.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    397351      3.50%     95.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    252649      2.23%     97.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    137509      1.21%     98.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    128379      1.13%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              11338044                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   25660      7.84%      7.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      7.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      7.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 62350     19.06%     26.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     26.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 42434     12.97%     39.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                74353     22.73%     62.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc              6124      1.87%     64.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                 37097     11.34%     75.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                 1090      0.33%     76.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     76.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     76.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     76.15% # attempts to use FU when none available (Count)
