
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002022                       # Number of seconds simulated (Second)
simTicks                                   2022322500                       # Number of ticks simulated (Tick)
finalTick                                  2022322500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    103.16                       # Real time elapsed on the host (Second)
hostTickRate                                 19604693                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   18888320                       # Number of bytes of host memory used (Byte)
simInsts                                     10000001                       # Number of instructions simulated (Count)
simOps                                       10000001                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    96941                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      96941                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   2022322500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          4044649                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10102739                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       50                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10073069                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3309                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               102696                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             77711                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  17                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             4006038                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.514472                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.444392                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1251425     31.24%     31.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    384838      9.61%     40.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    784577     19.58%     60.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    291385      7.27%     67.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    392812      9.81%     77.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    301434      7.52%     85.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    188235      4.70%     89.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    253562      6.33%     96.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    157770      3.94%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               4006038                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    5770      1.28%      1.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   6521      1.45%      2.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     647      0.14%      2.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   575      0.13%      3.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                   554      0.12%      3.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      3.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                99633     22.09%     25.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             45880     10.17%     35.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                 26287      5.83%     41.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc               123628     27.40%     68.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                 9922      2.20%     70.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     70.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     70.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     70.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     70.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     70.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     70.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     70.81% # attempts to use FU when none available (Count)
