
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002080                       # Number of seconds simulated (Second)
simTicks                                   2079789500                       # Number of ticks simulated (Tick)
finalTick                                  2079789500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    105.73                       # Real time elapsed on the host (Second)
hostTickRate                                 19671513                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   18600576                       # Number of bytes of host memory used (Byte)
simInsts                                     10000003                       # Number of instructions simulated (Count)
simOps                                       10000003                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    94584                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      94584                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   2079789500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          4159581                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10159982                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       46                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10111120                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   4774                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               159972                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            121981                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  13                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             4121981                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.452976                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.494805                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1407964     34.16%     34.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    408111      9.90%     44.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    680945     16.52%     60.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    315605      7.66%     68.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    391298      9.49%     77.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    301769      7.32%     85.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    194296      4.71%     89.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    221453      5.37%     95.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    200540      4.87%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               4121981                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    4810      0.45%      0.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  12032      1.12%      1.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     631      0.06%      1.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   549      0.05%      1.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                   208      0.02%      1.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                  2245      0.21%      1.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               231296     21.54%     23.44% # attempts to use FU when none available (Count)
