
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005272                       # Number of seconds simulated (Second)
simTicks                                   5272251000                       # Number of ticks simulated (Tick)
finalTick                                  5272251000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    143.97                       # Real time elapsed on the host (Second)
hostTickRate                                 36620755                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   18989700                       # Number of bytes of host memory used (Byte)
simInsts                                     10000001                       # Number of instructions simulated (Count)
simOps                                       10001393                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    69459                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      69469                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   5272251000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         10544503                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10131711                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    24648                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10191208                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  11031                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               154840                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             64491                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1192                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            10535102                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.967357                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.655269                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6584556     62.50%     62.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1482686     14.07%     76.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    956156      9.08%     85.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    432307      4.10%     89.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    408515      3.88%     93.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    389090      3.69%     97.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    122971      1.17%     98.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     88615      0.84%     99.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     70206      0.67%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              10535102                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    7298      0.16%      0.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   297      0.01%      0.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult              1749110     37.58%     37.74% # attempts to use FU when none available (Count)
