
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003951                       # Number of seconds simulated (Second)
simTicks                                   3950527500                       # Number of ticks simulated (Tick)
finalTick                                  3950527500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    110.11                       # Real time elapsed on the host (Second)
hostTickRate                                 35877430                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   18436740                       # Number of bytes of host memory used (Byte)
simInsts                                     10000006                       # Number of instructions simulated (Count)
simOps                                       10000006                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    90817                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      90817                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   3950527500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          7901056                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10002008                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10006634                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    102                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 1951                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              1220                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples             7899691                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.266712                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.892979                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4242467     53.70%     53.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1283819     16.25%     69.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    860327     10.89%     80.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    472632      5.98%     86.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    386024      4.89%     91.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    257911      3.26%     94.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    162730      2.06%     97.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     96014      1.22%     98.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    137767      1.74%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7899691                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     684      0.03%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   445      0.02%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.05% # attempts to use FU when none available (Count)
